,False,True
2020-12-20,0,0
2020-12-21,0,0
2020-12-22,0,0
2020-12-23,0,0
2020-12-24,0,0
2020-12-25,0,0
2020-12-26,0,0
2020-12-27,0,0
2020-12-28,0,0
2020-12-29,7,0
2020-12-30,7,0
2020-12-31,7,0
2021-01-01,7,0
2021-01-02,14,0
2021-01-03,14,0
2021-01-04,42,0
2021-01-05,84,0
2021-01-06,126,0
2021-01-07,259,0
2021-01-08,588,0
2021-01-09,973,7
2021-01-10,1148,7
2021-01-11,1540,14
2021-01-12,2051,28
2021-01-13,2520,35
2021-01-14,3297,42
2021-01-15,4564,56
2021-01-16,5334,63
2021-01-17,5635,70
2021-01-18,6188,77
2021-01-19,6867,77
2021-01-20,7644,98
2021-01-21,9793,119
2021-01-22,11991,154
2021-01-23,14546,196
2021-01-24,15631,203
2021-01-25,17283,224
2021-01-26,19572,259
2021-01-27,22281,294
2021-01-28,25053,336
2021-01-29,28511,392
2021-01-30,33222,448
2021-01-31,35126,469
2021-02-01,39417,504
2021-02-02,43484,553
2021-02-03,47642,623
2021-02-04,57253,742
2021-02-05,78029,980
2021-02-06,106897,1274
2021-02-07,123795,1414
2021-02-08,142506,1582
2021-02-09,166880,1813
2021-02-10,199451,2114
2021-02-11,243586,2457
2021-02-12,307468,2989
2021-02-13,390544,3661
2021-02-14,424711,3920
2021-02-15,465003,4214
2021-02-16,508998,4536
2021-02-17,547071,4816
2021-02-18,585893,5180
2021-02-19,615447,5467
2021-02-20,644371,5726
2021-02-21,655774,5831
2021-02-22,670313,5964
2021-02-23,684096,6111
2021-02-24,697865,6251
2021-02-25,713251,6398
2021-02-26,727118,6531
2021-02-27,738283,6643
2021-02-28,743652,6699
2021-03-01,748755,6776
2021-03-02,754397,6867
2021-03-03,760921,6972
2021-03-04,768901,7105
2021-03-05,778127,7259
2021-03-06,786520,7399
2021-03-07,788928,7427
2021-03-08,792848,7497
2021-03-09,795837,7546
2021-03-10,799008,7602
2021-03-11,802060,7658
2021-03-12,803418,7686
2021-03-13,803418,7686
total,1381016,14714
