,1,2,3,4,5
2020-12-17,0,0,0,0,0
2020-12-18,0,0,0,0,0
2020-12-19,0,0,0,0,0
2020-12-20,0,0,0,0,0
2020-12-21,0,0,0,0,0
2020-12-22,0,0,0,0,0
2020-12-23,0,0,0,0,0
2020-12-24,0,0,0,0,0
2020-12-25,0,0,0,0,0
2020-12-26,0,0,0,0,0
2020-12-27,0,0,0,0,0
2020-12-28,0,0,0,0,0
2020-12-29,0,0,0,0,0
2020-12-30,0,0,0,0,0
2020-12-31,7,0,0,0,0
2021-01-01,7,0,0,0,0
2021-01-02,7,0,7,0,0
2021-01-03,7,0,7,0,7
2021-01-04,14,0,7,7,7
2021-01-05,28,14,14,7,7
2021-01-06,42,14,14,14,7
2021-01-07,140,35,84,56,35
2021-01-08,728,161,196,189,147
2021-01-09,1169,378,441,392,350
2021-01-10,1519,462,504,497,441
2021-01-11,2205,602,609,630,602
2021-01-12,2702,763,763,889,868
2021-01-13,3430,938,1001,1246,1078
2021-01-14,6020,1309,1400,1729,1554
2021-01-15,9380,1855,2310,2772,2282
2021-01-16,12992,2534,3087,3759,3472
2021-01-17,13426,2695,3318,4004,3717
2021-01-18,14490,2975,3773,4578,4298
2021-01-19,16282,3437,4235,5110,4788
2021-01-20,19383,4130,4998,6314,6391
2021-01-21,35966,8442,10157,12943,12824
2021-01-22,60508,14070,17486,21553,22771
2021-01-23,82334,19894,26236,32270,34083
2021-01-24,90622,21567,28420,35294,37898
2021-01-25,100877,23597,31227,39193,42637
2021-01-26,110208,25935,34258,43141,47348
2021-01-27,117852,28259,36848,46242,50239
2021-01-28,128940,31017,40397,50183,54229
2021-01-29,143465,34909,45766,56259,60354
2021-01-30,157094,38416,50638,61663,66192
2021-01-31,161700,39683,52542,63763,68509
2021-02-01,169456,41601,54873,66689,72079
2021-02-02,175315,43092,56749,69146,74690
2021-02-03,179669,44170,58030,70588,76132
2021-02-04,185234,45703,59605,72520,78071
2021-02-05,191051,47194,61299,74389,80297
2021-02-06,196315,48727,63070,76419,82418
2021-02-07,198625,49266,63791,77434,83608
2021-02-08,201642,50092,64533,78197,84686
2021-02-09,203931,50785,65163,79023,85400
2021-02-10,206262,51422,65856,79688,86002
2021-02-11,208047,52003,66430,80276,86499
2021-02-12,209888,52605,66976,80808,86940
2021-02-13,211673,53109,67522,81291,87388
2021-02-14,212163,53249,67704,81438,87542
2021-02-15,212856,53473,67914,81641,87710
2021-02-16,213388,53655,68075,81781,87822
2021-02-17,213892,53816,68229,81900,87913
2021-02-18,214410,53956,68369,82012,88018
2021-02-19,214914,54103,68495,82117,88102
2021-02-20,215271,54215,68579,82215,88186
2021-02-21,215383,54236,68614,82243,88200
2021-02-22,215628,54306,68677,82299,88249
2021-02-23,215922,54369,68740,82376,88298
2021-02-24,216223,54460,68810,82453,88361
2021-02-25,216559,54558,68908,82537,88431
2021-02-26,216825,54642,68999,82607,88508
2021-02-27,217084,54705,69055,82656,88550
2021-02-28,217189,54747,69090,82684,88571
2021-03-01,217350,54796,69139,82726,88606
2021-03-02,217560,54880,69188,82775,88641
2021-03-03,217826,54971,69244,82838,88683
2021-03-04,218183,55069,69328,82915,88746
2021-03-05,218568,55188,69419,83013,88837
2021-03-06,218904,55279,69503,83083,88907
2021-03-07,219009,55307,69531,83104,88928
2021-03-08,219149,55363,69566,83139,88956
2021-03-09,219317,55405,69608,83174,88991
2021-03-10,219527,55447,69657,83202,89019
2021-03-11,219709,55510,69692,83230,89054
2021-03-12,219800,55531,69713,83251,89068
total,469917,123445,147665,171535,186956
