,False,True
2020-11-30,0,0
2020-12-01,0,0
2020-12-02,0,0
2020-12-03,0,0
2020-12-04,0,0
2020-12-05,0,0
2020-12-06,0,0
2020-12-07,0,0
2020-12-08,0,0
2020-12-09,0,0
2020-12-10,0,0
2020-12-11,0,0
2020-12-12,0,0
2020-12-13,0,0
2020-12-14,0,0
2020-12-15,0,0
2020-12-16,0,0
2020-12-17,0,0
2020-12-18,0,0
2020-12-19,0,0
2020-12-20,0,0
2020-12-21,0,0
2020-12-22,0,0
2020-12-23,0,0
2020-12-24,0,0
2020-12-25,0,0
2020-12-26,0,0
2020-12-27,0,0
2020-12-28,0,0
2020-12-29,7,0
2020-12-30,7,0
2020-12-31,14,0
2021-01-01,42,7
2021-01-02,49,7
2021-01-03,56,7
2021-01-04,91,14
2021-01-05,112,14
2021-01-06,140,21
2021-01-07,252,42
2021-01-08,581,77
2021-01-09,1078,140
2021-01-10,1281,168
2021-01-11,1799,238
2021-01-12,2534,322
2021-01-13,3353,441
2021-01-14,4473,560
2021-01-15,6055,756
2021-01-16,8288,1008
2021-01-17,8666,1071
2021-01-18,9961,1197
2021-01-19,11914,1400
2021-01-20,15603,1799
2021-01-21,23919,2660
2021-01-22,38983,4067
2021-01-23,56434,5761
2021-01-24,63126,6482
2021-01-25,74571,7483
2021-01-26,91308,9226
2021-01-27,109025,11165
2021-01-28,132720,13832
2021-01-29,156254,16205
2021-01-30,196126,20580
2021-01-31,212044,22099
2021-02-01,237055,24500
2021-02-02,272027,27762
2021-02-03,304304,30548
2021-02-04,354088,35476
2021-02-05,429478,42728
2021-02-06,555800,56196
2021-02-07,618527,62209
2021-02-08,671027,67466
2021-02-09,723674,72933
2021-02-10,763945,77413
2021-02-11,796299,81200
2021-02-12,828814,84917
2021-02-13,865032,89096
2021-02-14,876260,90237
2021-02-15,886403,91238
2021-02-16,893900,91973
2021-02-17,900480,92603
2021-02-18,907466,93191
2021-02-19,913682,93800
2021-02-20,921501,94472
2021-02-21,925253,94759
2021-02-22,930475,95165
2021-02-23,936453,95641
2021-02-24,942900,96117
2021-02-25,953211,96761
2021-02-26,961828,97300
2021-02-27,969976,97783
2021-02-28,974309,98028
2021-03-01,978859,98322
2021-03-02,983535,98658
2021-03-03,990493,99050
2021-03-04,999936,99652
2021-03-05,1009050,100310
2021-03-06,1018220,100919
2021-03-07,1020719,101066
2021-03-08,1023757,101283
2021-03-09,1027124,101514
2021-03-10,1030281,101773
2021-03-11,1032836,101962
2021-03-12,1036882,102333
2021-03-13,1041894,102725
2021-03-14,1043945,102900
2021-03-15,1046878,103138
2021-03-16,1049461,103348
2021-03-17,1052051,103537
2021-03-18,1054445,103768
2021-03-19,1056986,103999
2021-03-20,1060003,104272
2021-03-21,1061123,104356
2021-03-22,1062586,104475
2021-03-23,1064147,104608
2021-03-24,1065953,104755
total,1839152,182686
