,False,True
2020-11-29,0,0
2020-11-30,0,0
2020-12-01,0,0
2020-12-02,0,0
2020-12-03,0,0
2020-12-04,0,0
2020-12-05,0,0
2020-12-06,0,0
2020-12-07,0,0
2020-12-08,0,0
2020-12-09,0,0
2020-12-10,0,0
2020-12-11,0,0
2020-12-12,0,0
2020-12-13,0,0
2020-12-14,0,0
2020-12-15,0,0
2020-12-16,0,0
2020-12-17,0,0
2020-12-18,0,0
2020-12-19,0,0
2020-12-20,0,0
2020-12-21,0,0
2020-12-22,0,0
2020-12-23,0,0
2020-12-24,0,0
2020-12-25,0,0
2020-12-26,0,0
2020-12-27,0,0
2020-12-28,0,0
2020-12-29,0,0
2020-12-30,0,0
2020-12-31,0,0
2021-01-01,14,0
2021-01-02,21,0
2021-01-03,21,0
2021-01-04,28,0
2021-01-05,42,0
2021-01-06,63,0
2021-01-07,91,0
2021-01-08,238,7
2021-01-09,420,21
2021-01-10,518,28
2021-01-11,707,42
2021-01-12,987,70
2021-01-13,1337,91
2021-01-14,1743,119
2021-01-15,2289,161
2021-01-16,2695,196
2021-01-17,2842,203
2021-01-18,3192,224
2021-01-19,3584,259
2021-01-20,4151,315
2021-01-21,5103,406
2021-01-22,6559,518
2021-01-23,7693,588
2021-01-24,8309,623
2021-01-25,9219,700
2021-01-26,10563,798
2021-01-27,12257,910
2021-01-28,13720,1029
2021-01-29,15442,1190
2021-01-30,17213,1309
2021-01-31,18032,1351
2021-02-01,19397,1477
2021-02-02,21126,1624
2021-02-03,23597,1820
2021-02-04,29323,2226
2021-02-05,37471,2814
2021-02-06,50484,3640
2021-02-07,58345,4116
2021-02-08,67851,4697
2021-02-09,80045,5439
2021-02-10,103313,6874
2021-02-11,132615,8638
2021-02-12,170030,10976
2021-02-13,228816,14602
2021-02-14,256228,16149
2021-02-15,289436,17990
2021-02-16,320971,19663
2021-02-17,350007,21175
2021-02-18,378644,22736
2021-02-19,403494,24213
2021-02-20,427889,25634
2021-02-21,438410,26152
2021-02-22,453187,26915
2021-02-23,465731,27664
2021-02-24,479675,28455
2021-02-25,494088,29232
2021-02-26,507605,29953
2021-02-27,517825,30513
2021-02-28,524202,30856
2021-03-01,529046,31122
2021-03-02,534009,31465
2021-03-03,539854,31829
2021-03-04,548429,32410
2021-03-05,557396,32991
2021-03-06,565383,33558
2021-03-07,567294,33691
2021-03-08,570437,33915
2021-03-09,573342,34132
2021-03-10,576009,34335
2021-03-11,578508,34510
2021-03-12,582491,34762
2021-03-13,587384,35063
2021-03-14,589960,35210
2021-03-15,593257,35427
2021-03-16,596015,35609
2021-03-17,598178,35735
2021-03-18,600565,35896
2021-03-19,602672,36043
2021-03-20,605486,36211
2021-03-21,606291,36267
2021-03-22,607292,36316
2021-03-23,608314,36393
2021-03-24,609308,36463
total,1013551,59003
