,False,True
2020-11-29,0,0
2020-11-30,0,0
2020-12-01,0,0
2020-12-02,0,0
2020-12-03,0,0
2020-12-04,0,0
2020-12-05,0,0
2020-12-06,0,0
2020-12-07,0,0
2020-12-08,0,0
2020-12-09,0,0
2020-12-10,0,0
2020-12-11,0,0
2020-12-12,0,0
2020-12-13,0,0
2020-12-14,0,0
2020-12-15,0,0
2020-12-16,0,0
2020-12-17,0,0
2020-12-18,0,0
2020-12-19,0,0
2020-12-20,0,0
2020-12-21,0,0
2020-12-22,0,0
2020-12-23,0,0
2020-12-24,0,0
2020-12-25,0,0
2020-12-26,0,0
2020-12-27,0,0
2020-12-28,0,0
2020-12-29,7,0
2020-12-30,7,0
2020-12-31,7,0
2021-01-01,21,0
2021-01-02,35,0
2021-01-03,35,0
2021-01-04,70,0
2021-01-05,119,7
2021-01-06,182,7
2021-01-07,336,14
2021-01-08,805,28
2021-01-09,1365,63
2021-01-10,1631,77
2021-01-11,2191,119
2021-01-12,2975,168
2021-01-13,3766,224
2021-01-14,4914,301
2021-01-15,6657,427
2021-01-16,7791,518
2021-01-17,8225,539
2021-01-18,9093,609
2021-01-19,10122,693
2021-01-20,11410,826
2021-01-21,14392,1057
2021-01-22,17934,1323
2021-01-23,21511,1561
2021-01-24,23142,1659
2021-01-25,25634,1834
2021-01-26,29162,2100
2021-01-27,33397,2408
2021-01-28,37457,2737
2021-01-29,42455,3150
2021-01-30,48741,3556
2021-01-31,51394,3689
2021-02-01,56868,4046
2021-02-02,62426,4494
2021-02-03,68873,4949
2021-02-04,83671,6006
2021-02-05,111594,7882
2021-02-06,152369,10339
2021-02-07,176344,11732
2021-02-08,203623,13440
2021-02-09,239008,15694
2021-02-10,293398,19026
2021-02-11,364686,23387
2021-02-12,463113,29463
2021-02-13,601293,37653
2021-02-14,661374,41020
2021-02-15,733089,44947
2021-02-16,806736,48965
2021-02-17,872326,52458
2021-02-18,938210,56070
2021-02-19,991515,59052
2021-02-20,1043658,62055
2021-02-21,1065120,63168
2021-02-22,1093841,64694
2021-02-23,1119566,66248
2021-02-24,1146719,67767
2021-02-25,1175825,69405
2021-02-26,1202628,70875
2021-02-27,1223551,72030
2021-02-28,1235108,72632
2021-03-01,1244831,73206
2021-03-02,1255247,73857
2021-03-03,1267378,74606
2021-03-04,1283597,75712
2021-03-05,1301391,76916
2021-03-06,1317428,77973
2021-03-07,1321656,78239
2021-03-08,1328558,78708
2021-03-09,1334389,79093
2021-03-10,1340171,79506
2021-03-11,1345694,79884
2021-03-12,1353632,80402
2021-03-13,1363866,81032
2021-03-14,1369207,81340
2021-03-15,1375423,81753
2021-03-16,1381016,82117
2021-03-17,1385524,82404
2021-03-18,1386938,82502
2021-03-19,1386938,82502
total,2337685,135163
