,False,True
2020-12-29,0,0
2020-12-30,7,0
2020-12-31,7,0
2021-01-01,7,0
2021-01-02,7,0
2021-01-03,14,0
2021-01-04,21,0
2021-01-05,77,0
2021-01-06,196,0
2021-01-07,301,0
2021-01-08,350,0
2021-01-09,434,0
2021-01-10,476,0
2021-01-11,497,0
2021-01-12,504,0
2021-01-13,504,0
2021-01-14,511,0
2021-01-15,518,0
2021-01-16,518,0
2021-01-17,518,0
2021-01-18,518,0
2021-01-19,518,0
2021-01-20,518,0
2021-01-21,518,0
2021-01-22,525,0
2021-01-23,525,0
2021-01-24,525,0
2021-01-25,525,0
2021-01-26,525,0
2021-01-27,525,0
2021-01-28,525,0
2021-01-29,609,0
2021-01-30,609,0
2021-01-31,609,0
2021-02-01,623,0
2021-02-02,644,0
2021-02-03,651,0
2021-02-04,651,0
2021-02-05,651,0
2021-02-06,665,0
2021-02-07,665,0
2021-02-08,665,0
2021-02-09,679,0
2021-02-10,693,0
2021-02-11,707,0
2021-02-12,861,0
2021-02-13,861,0
2021-02-14,861,0
2021-02-15,882,7
2021-02-16,896,7
2021-02-17,931,7
2021-02-18,959,7
2021-02-19,973,7
2021-02-20,994,7
2021-02-21,994,7
2021-02-22,1120,7
2021-02-23,1302,7
2021-02-24,1330,7
2021-02-25,1358,7
2021-02-26,1421,7
2021-02-27,1582,14
2021-02-28,1589,14
2021-03-01,1701,14
2021-03-02,2163,14
2021-03-03,2982,21
2021-03-04,3738,28
2021-03-05,4438,35
2021-03-06,4634,35
2021-03-07,4683,35
2021-03-08,5019,35
2021-03-09,5285,42
2021-03-10,5817,42
total,129976,1015
