,False,True
2020-12-16,0,0
2020-12-17,0,0
2020-12-18,0,0
2020-12-19,0,0
2020-12-20,7,0
2020-12-21,7,0
2020-12-22,14,0
2020-12-23,14,0
2020-12-24,14,0
2020-12-25,14,0
2020-12-26,14,0
2020-12-27,14,0
2020-12-28,14,0
2020-12-29,21,0
2020-12-30,21,0
2020-12-31,21,0
2021-01-01,35,0
2021-01-02,56,0
2021-01-03,63,0
2021-01-04,70,0
2021-01-05,77,0
2021-01-06,91,0
2021-01-07,385,0
2021-01-08,1932,14
2021-01-09,5390,49
2021-01-10,6776,63
2021-01-11,8288,70
2021-01-12,13664,112
2021-01-13,19145,154
2021-01-14,26509,217
2021-01-15,34377,287
2021-01-16,43309,378
2021-01-17,46375,399
2021-01-18,52332,441
2021-01-19,60263,504
2021-01-20,67956,560
2021-01-21,88018,714
2021-01-22,116984,959
2021-01-23,142401,1169
2021-01-24,149730,1225
2021-01-25,161308,1302
2021-01-26,175329,1421
2021-01-27,186081,1512
2021-01-28,196245,1589
2021-01-29,205527,1666
2021-01-30,211785,1715
2021-01-31,213696,1736
2021-02-01,218155,1764
2021-02-02,223195,1799
2021-02-03,228116,1834
2021-02-04,233226,1869
2021-02-05,238588,1925
2021-02-06,242410,1953
2021-02-07,244188,1960
2021-02-08,247338,1981
2021-02-09,250859,2002
2021-02-10,255094,2030
2021-02-11,258825,2058
2021-02-12,262374,2079
2021-02-13,264649,2093
2021-02-14,265531,2100
2021-02-15,266952,2107
2021-02-16,268149,2114
2021-02-17,269374,2121
2021-02-18,270522,2128
2021-02-19,271537,2135
2021-02-20,272104,2142
2021-02-21,272314,2142
2021-02-22,272818,2142
2021-02-23,273637,2149
2021-02-24,274421,2156
2021-02-25,275317,2163
2021-02-26,276136,2170
2021-02-27,276528,2170
2021-02-28,276647,2170
2021-03-01,277018,2177
2021-03-02,277557,2177
2021-03-03,278138,2184
2021-03-04,278908,2184
2021-03-05,279748,2191
2021-03-06,280238,2191
2021-03-07,280336,2191
2021-03-08,280609,2198
2021-03-09,281036,2198
2021-03-10,281505,2205
2021-03-11,281918,2212
2021-03-12,282464,2212
2021-03-13,282849,2219
2021-03-14,282982,2219
2021-03-15,283262,2219
2021-03-16,283605,2219
2021-03-17,283899,2219
2021-03-18,284319,2226
2021-03-19,284711,2226
2021-03-20,285005,2233
2021-03-21,285110,2233
2021-03-22,285313,2233
2021-03-23,285642,2233
2021-03-24,286062,2247
2021-03-25,286468,2247
2021-03-26,286867,2254
2021-03-27,287266,2254
2021-03-28,287413,2254
2021-03-29,287714,2254
2021-03-30,288064,2261
2021-03-31,288484,2261
2021-04-01,288834,2268
2021-04-02,289072,2268
2021-04-03,289198,2268
2021-04-04,289240,2268
2021-04-05,289268,2268
2021-04-06,289506,2268
2021-04-07,289870,2275
2021-04-08,290234,2275
2021-04-09,290612,2282
2021-04-10,290906,2282
2021-04-11,291039,2282
2021-04-12,291235,2282
2021-04-13,291438,2289
2021-04-14,291690,2289
2021-04-15,291970,2289
2021-04-16,292222,2289
2021-04-17,292362,2289
2021-04-18,292425,2289
2021-04-19,292572,2289
2021-04-20,292754,2289
2021-04-21,292943,2289
total,1102724,9107
