,1,2,3,4,5,6
2020-12-15,0,0,0,0,0,0
2020-12-16,0,0,0,0,0,0
2020-12-17,0,0,0,0,0,0
2020-12-18,0,0,0,0,0,0
2020-12-19,0,0,0,0,0,0
2020-12-20,0,0,0,0,0,0
2020-12-21,0,0,0,0,0,0
2020-12-22,0,0,0,0,0,0
2020-12-23,7,0,0,0,0,0
2020-12-24,7,0,0,0,0,0
2020-12-25,7,0,0,0,0,0
2020-12-26,7,0,0,0,0,0
2020-12-27,7,0,0,0,0,0
2020-12-28,7,0,0,0,0,0
2020-12-29,7,0,0,0,0,0
2020-12-30,7,0,0,0,0,0
2020-12-31,7,0,0,0,0,0
2021-01-01,7,0,0,0,0,0
2021-01-02,14,0,0,0,0,0
2021-01-03,14,0,0,0,0,0
2021-01-04,14,0,0,0,0,0
2021-01-05,14,0,0,0,0,0
2021-01-06,21,0,0,0,0,14
2021-01-07,224,0,0,0,0,105
2021-01-08,1722,0,14,14,7,1092
2021-01-09,3381,7,35,21,14,2163
2021-01-10,3738,7,35,28,14,2436
2021-01-11,5551,14,49,49,28,3801
2021-01-12,8491,28,63,70,42,5698
2021-01-13,11186,35,98,91,56,7483
2021-01-14,14525,49,133,119,77,9499
2021-01-15,19173,70,196,161,105,12194
2021-01-16,21826,77,266,168,112,13881
2021-01-17,22855,91,280,182,112,14609
2021-01-18,25193,98,301,203,126,16100
2021-01-19,27314,105,357,217,133,17472
2021-01-20,29225,119,406,231,133,18676
2021-01-21,32291,133,462,273,147,20384
2021-01-22,37401,147,518,315,175,23723
2021-01-23,39004,154,546,329,189,24605
2021-01-24,39613,161,553,336,196,24927
2021-01-25,40096,161,567,343,203,25158
2021-01-26,40761,161,574,350,203,25529
2021-01-27,41384,168,581,357,210,25872
2021-01-28,42021,175,602,371,210,26173
2021-01-29,42707,182,623,385,217,26530
2021-01-30,42945,182,623,392,217,26677
2021-01-31,43022,182,623,392,217,26719
2021-02-01,43323,182,630,399,217,26887
2021-02-02,43722,189,637,399,224,27104
2021-02-03,44240,196,644,406,224,27384
2021-02-04,44814,196,651,413,224,27741
2021-02-05,45423,203,665,420,231,28105
2021-02-06,45815,203,672,427,238,28280
2021-02-07,45955,203,672,427,238,28343
2021-02-08,46340,210,679,434,238,28525
2021-02-09,46851,217,693,441,245,28784
2021-02-10,47621,224,707,448,245,29148
2021-02-11,48447,238,721,462,245,29582
2021-02-12,49294,245,742,476,252,29995
2021-02-13,49637,245,749,476,252,30177
2021-02-14,49714,252,749,476,252,30219
2021-02-15,50099,252,756,483,252,30478
2021-02-16,50491,252,763,490,259,30660
2021-02-17,50862,259,777,490,259,30884
2021-02-18,51254,266,791,497,259,31115
2021-02-19,51667,266,798,504,259,31346
2021-02-20,51870,273,798,504,266,31416
2021-02-21,51912,273,798,504,266,31430
2021-02-22,52038,273,812,511,266,31493
2021-02-23,52255,273,819,511,266,31633
2021-02-24,52626,280,826,511,266,31780
2021-02-25,52927,287,833,518,266,31934
2021-02-26,53200,287,840,525,273,32095
2021-02-27,53361,287,847,525,273,32165
2021-02-28,53431,287,847,532,273,32186
2021-03-01,53585,294,854,532,273,32312
2021-03-02,53823,301,861,539,273,32431
2021-03-03,54124,308,868,546,273,32550
2021-03-04,54481,308,882,553,280,32711
2021-03-05,54873,315,889,560,280,32914
2021-03-06,55097,322,896,567,287,32991
2021-03-07,55153,322,896,567,287,33005
2021-03-08,55307,322,896,567,287,33061
2021-03-09,55489,322,903,574,287,33138
2021-03-10,55692,329,910,581,287,33215
2021-03-11,55860,329,917,581,294,33271
2021-03-12,56091,329,924,588,294,33369
2021-03-13,56238,329,931,588,294,33425
2021-03-14,56294,336,931,588,294,33439
2021-03-15,56413,336,938,595,294,33474
2021-03-16,56595,336,945,595,301,33572
2021-03-17,56749,343,959,602,301,33656
2021-03-18,56959,343,966,609,301,33726
2021-03-19,57127,350,966,609,301,33803
2021-03-20,57232,350,973,616,301,33859
2021-03-21,57274,350,973,616,301,33873
2021-03-22,57358,350,973,616,308,33908
2021-03-23,57491,350,980,623,308,33971
2021-03-24,57603,350,987,623,308,34034
2021-03-25,57785,350,994,630,308,34118
2021-03-26,57932,350,1001,630,308,34216
2021-03-27,58051,357,1008,630,308,34265
2021-03-28,58086,357,1008,630,315,34300
2021-03-29,58226,357,1015,630,315,34349
2021-03-30,58338,357,1015,637,315,34419
2021-03-31,58471,364,1022,637,315,34496
2021-04-01,58555,364,1022,637,315,34566
2021-04-02,58576,364,1022,637,315,34587
2021-04-03,58625,364,1022,637,315,34601
2021-04-04,58632,364,1022,637,315,34601
2021-04-05,58639,364,1029,637,315,34601
2021-04-06,58723,364,1029,637,315,34650
2021-04-07,58807,364,1029,637,315,34685
2021-04-08,58905,364,1029,637,315,34720
2021-04-09,59031,364,1036,637,322,34790
2021-04-10,59101,364,1036,644,322,34825
2021-04-11,59122,364,1036,644,322,34839
2021-04-12,59171,364,1036,644,322,34867
2021-04-13,59248,364,1036,644,322,34902
2021-04-14,59311,364,1036,644,322,34958
2021-04-15,59388,364,1036,644,322,34993
2021-04-16,59444,364,1036,651,322,35042
2021-04-17,59465,364,1036,651,322,35049
2021-04-18,59472,364,1036,651,322,35049
2021-04-19,59507,364,1036,651,322,35070
2021-04-20,59542,364,1036,651,322,35091
2021-04-21,59577,364,1036,651,322,35112
total,82229,546,1519,987,490,48041
