,False,True
2020-12-15,0,0
2020-12-16,0,0
2020-12-17,0,0
2020-12-18,0,0
2020-12-19,0,0
2020-12-20,0,0
2020-12-21,0,0
2020-12-22,0,0
2020-12-23,7,0
2020-12-24,7,0
2020-12-25,7,0
2020-12-26,7,0
2020-12-27,7,0
2020-12-28,7,0
2020-12-29,7,0
2020-12-30,7,0
2020-12-31,14,0
2021-01-01,14,0
2021-01-02,14,0
2021-01-03,14,0
2021-01-04,14,0
2021-01-05,21,0
2021-01-06,35,0
2021-01-07,322,7
2021-01-08,2751,84
2021-01-09,5418,175
2021-01-10,6041,189
2021-01-11,9170,287
2021-01-12,13909,427
2021-01-13,18326,553
2021-01-14,23590,728
2021-01-15,30758,980
2021-01-16,35007,1106
2021-01-17,36729,1162
2021-01-18,40453,1281
2021-01-19,43876,1393
2021-01-20,46956,1470
2021-01-21,51590,1617
2021-01-22,59710,1869
2021-01-23,62118,1939
2021-01-24,63035,1974
2021-01-25,63735,1995
2021-01-26,64729,2016
2021-01-27,65653,2051
2021-01-28,66570,2072
2021-01-29,67543,2107
2021-01-30,67893,2128
2021-01-31,68005,2128
2021-02-01,68446,2149
2021-02-02,69013,2170
2021-02-03,69762,2198
2021-02-04,70658,2226
2021-02-05,71596,2268
2021-02-06,72121,2289
2021-02-07,72317,2303
2021-02-08,72849,2317
2021-02-09,73598,2338
2021-02-10,74669,2380
2021-02-11,75887,2422
2021-02-12,77119,2457
2021-02-13,77616,2471
2021-02-14,77735,2478
2021-02-15,78372,2492
2021-02-16,78925,2506
2021-02-17,79499,2527
2021-02-18,80115,2555
2021-02-19,80738,2576
2021-02-20,81011,2583
2021-02-21,81067,2583
2021-02-22,81256,2583
2021-02-23,81613,2597
2021-02-24,82124,2604
2021-02-25,82572,2618
2021-02-26,82985,2625
2021-02-27,83216,2632
2021-02-28,83321,2632
2021-03-01,83594,2639
2021-03-02,83944,2653
2021-03-03,84350,2660
2021-03-04,84861,2681
2021-03-05,85463,2695
2021-03-06,85764,2702
2021-03-07,85834,2702
2021-03-08,86037,2709
2021-03-09,86275,2716
2021-03-10,86569,2723
2021-03-11,86765,2730
2021-03-12,87087,2737
2021-03-13,87269,2744
2021-03-14,87353,2744
2021-03-15,87493,2751
2021-03-16,87745,2758
2021-03-17,87955,2765
total,127141,3990
